month,company,taxi_fleet
2013-04,CityCab,4204
2013-04,TransCab,4510
2013-04,SMRT,3296
2013-04,Individual Yellow- Top,314
2013-04,Smart,344
2013-04,Premier,2240
2013-04,Prime,806
2013-05,Comfort,12175
2013-05,CityCab,4189
2013-05,TransCab,4484
2013-05,SMRT,3257
2013-05,Individual Yellow- Top,307
2013-05,Smart,315
2013-05,Premier,2184
2013-05,Prime,808
2013-06,Comfort,12315
2013-06,CityCab,4201
2013-06,TransCab,4334
2013-06,SMRT,3300
2013-06,Individual Yellow- Top,300
2013-06,Smart,268
2013-06,Premier,2197
2013-06,Prime,886
2013-07,Comfort,12408
2013-07,CityCab,4212
2013-07,TransCab,4334
2013-07,SMRT,3242
2013-07,Individual Yellow- Top,291
2013-07,Smart,197
2013-07,Premier,2132
2013-07,Prime,881
2013-08,Comfort,12421
2013-08,CityCab,4223
2013-08,TransCab,4375
2013-08,SMRT,3215
2013-08,Individual Yellow- Top,283
2013-08,Smart,0
2013-08,Premier,2064
2013-08,Prime,890
2013-09,Comfort,12449
2013-09,CityCab,4249
2013-09,TransCab,4373
2013-09,SMRT,3208
2013-09,Individual Yellow- Top,274
2013-09,Smart,0
2013-09,Premier,2031
2013-09,Prime,891
2013-10,Comfort,12447
2013-10,CityCab,4268
2013-10,TransCab,4339
2013-10,SMRT,3249
2013-10,Individual Yellow- Top,274
2013-10,Smart,0
2013-10,Premier,2048
2013-10,Prime,891
2013-11,Comfort,12361
2013-11,CityCab,4249
2013-11,TransCab,4280
2013-11,SMRT,3365
2013-11,Individual Yellow- Top,270
2013-11,Smart,0
2013-11,Premier,2075
2013-11,Prime,892
2013-12,Comfort,12356
2013-12,CityCab,4246
2013-12,TransCab,4403
2013-12,SMRT,3454
2013-12,Individual Yellow- Top,267
2013-12,Smart,0
2013-12,Premier,2065
2013-12,Prime,904
2014-01,Comfort,12377
2014-01,CityCab,4251
2014-01,TransCab,4447
2014-01,SMRT,3470
2014-01,Premier,2070
2014-01,Prime,902
2014-01,Individual Yellow- Top,262
2014-02,Comfort,12380
2014-02,CityCab,4226
2014-02,TransCab,4469
2014-02,SMRT,3341
2014-02,Premier,2079
2014-02,Prime,905
2014-02,Individual Yellow- Top,258
2014-03,Comfort,12476
2014-03,CityCab,4261
2014-03,TransCab,4512
2014-03,SMRT,3207
2014-03,Premier,2086
2014-03,Prime,905
2014-03,Individual Yellow- Top,253
2014-04,Comfort,12525
2014-04,CityCab,4256
2014-04,TransCab,4541
2014-04,SMRT,3223
2014-04,Premier,2058
2014-04,Prime,906
2014-04,Individual Yellow- Top,245
2014-05,Comfort,12498
2014-05,CityCab,4241
2014-05,TransCab,4548
2014-05,SMRT,3243
2014-05,Premier,2037
2014-05,Prime,904
2014-05,Individual Yellow- Top,238
2014-06,Comfort,12514
2014-06,CityCab,4236
2014-06,TransCab,4686
2014-06,SMRT,3227
2014-06,Premier,2068
2014-06,Prime,902
2014-06,Individual Yellow- Top,232
2014-07,Comfort,12526
2014-07,CityCab,4236
2014-07,TransCab,4704
2014-07,SMRT,3314
2014-07,Premier,2067
2014-07,Prime,877
2014-07,Individual Yellow- Top,213
2014-08,Comfort,12557
2014-08,CityCab,4230
2014-08,TransCab,4650
2014-08,SMRT,3369
2014-08,Premier,2081
2014-08,Prime,892
2014-08,Individual Yellow- Top,191
2014-09,Comfort,12557
2014-09,CityCab,4264
2014-09,TransCab,4623
2014-09,SMRT,3587
2014-09,Premier,2017
2014-09,Prime,879
2014-09,Individual Yellow- Top,172
2014-10,Comfort,12571
2014-10,CityCab,4298
2014-10,TransCab,4685
2014-10,SMRT,3615
2014-10,Premier,2078
2014-10,Prime,907
2014-10,Individual Yellow- Top,175
2014-11,Comfort,12552
2014-11,CityCab,4309
2014-11,TransCab,4821
2014-11,SMRT,3643
2014-11,Premier,2110
2014-11,Prime,901
2014-11,Individual Yellow- Top,176
2014-12,Comfort,12608
2014-12,CityCab,4325
2014-12,TransCab,4859
2014-12,SMRT,3722
2014-12,Premier,2148
2014-12,Prime,896
2014-12,Individual Yellow- Top,178
2015-01,Comfort,12552
2015-01,CityCab,4321
2015-01,TransCab,4810
2015-01,SMRT,3575
2015-01,Premier,2192
2015-01,Prime,885
2015-01,Individual Yellow- Top,180
2015-02,Comfort,12546
2015-02,CityCab,4324
2015-02,TransCab,4810
2015-02,SMRT,3569
2015-02,Premier,2222
2015-02,Prime,883
2015-02,Individual Yellow- Top,183
2015-03,Comfort,12494
2015-03,CityCab,4337
2015-03,TransCab,4919
2015-03,SMRT,3593
2015-03,Premier,2259
2015-03,Prime,887
2015-03,Individual Yellow- Top,179
2015-04,Comfort,12482
2015-04,CityCab,4343
2015-04,TransCab,4919
2015-04,SMRT,3566
2015-04,Premier,2230
2015-04,Prime,887
2015-04,Individual Yellow- Top,179
2015-05,Comfort,12698
2015-05,CityCab,4377
2015-05,TransCab,4899
2015-05,SMRT,3559
2015-05,Premier,2187
2015-05,Prime,895
2015-05,Individual Yellow- Top,177
2015-06,Comfort,12682
2015-06,CityCab,4353
2015-06,TransCab,4940
2015-06,SMRT,3552
2015-06,Premier,2101
2015-06,Prime,883
2015-06,Individual Yellow- Top,175
2015-07,Comfort,12668
2015-07,CityCab,4344
2015-07,TransCab,4947
2015-07,SMRT,3550
2015-07,Premier,2017
2015-07,Prime,856
2015-07,Individual Yellow- Top,175
2015-08,Comfort,12687
2015-08,CityCab,4352
2015-08,TransCab,4974
2015-08,SMRT,3544
2015-08,Premier,1988
2015-08,Prime,859
2015-08,Individual Yellow- Top,168
2015-09,Comfort,12673
2015-09,CityCab,4353
2015-09,TransCab,4974
2015-09,SMRT,3525
2015-09,Premier,1988
2015-09,Prime,857
2015-09,Individual Yellow- Top,165
2015-10,Comfort,12691
2015-10,CityCab,4360
2015-10,TransCab,4971
2015-10,SMRT,3583
2015-10,Premier,1935
2015-10,Prime,858
2015-10,Individual Yellow- Top,160
2015-11,Comfort,12617
2015-11,CityCab,4359
2015-11,TransCab,4910
2015-11,SMRT,3579
2015-11,Premier,1938
2015-11,Prime,841
2015-11,Individual Yellow- Top,158
2015-12,Comfort,12641
2015-12,CityCab,4356
2015-12,TransCab,4842
2015-12,SMRT,3502
2015-12,Premier,1933
2015-12,Prime,828
2015-12,Individual Yellow- Top,157
2016-01,Comfort,12625
2016-01,CityCab,4351
2016-01,TransCab,4842
2016-01,SMRT,3507
2016-01,Premier,1984
2016-01,Prime,795
2016-01,Individual Yellow- Top,154
2016-02,Comfort,12567
2016-02,CityCab,4329
2016-02,TransCab,4847
2016-02,SMRT,3529
2016-02,Premier,2001
2016-02,Prime,789
2016-02,Individual Yellow- Top,150
2016-03,Comfort,12676
2016-03,CityCab,4348
2016-03,TransCab,4839
2016-03,SMRT,3509
2016-03,Premier,1986
2016-03,Prime,780
2016-03,Individual Yellow- Top,148
2016-04,Comfort,12775
2016-04,CityCab,4368
2016-04,TransCab,4706
2016-04,SMRT,3522
2016-04,Premier,1962
2016-04,Prime,800
